Date,Close,High,Low,Open,Volume
,BBNI.JK,BBNI.JK,BBNI.JK,BBNI.JK,BBNI.JK
2023-07-03,4040.2275390625,4051.1766651846206,4007.3801606961383,4029.2784129403794,63091600
2023-07-04,3985.48193359375,4040.2275645497084,3963.583681211367,4040.2275645497084,31937600
2023-07-05,4007.38037109375,4007.3803710937495,3974.532991002817,3996.4312443967724,16724200
2023-07-06,3985.48193359375,4029.2784383585167,3974.532807402559,4007.3801859761334,48292600
2023-07-07,3974.532958984375,4007.380338810692,3974.532958984375,3985.4820855931475,24713400
2023-07-10,3963.583740234375,3996.4311192970904,3963.583740234375,3974.5328665886136,19832600
2023-07-11,3930.736328125,3974.532833173747,3930.736328125,3952.634580649373,46162800
2023-07-12,3919.787353515625,3952.634733573019,3908.8382268298274,3941.6856068872207,83926600
2023-07-13,3897.88916015625,3952.6347944281074,3886.9400333018784,3930.7365407193643,115995200
2023-07-14,3908.838134765625,3930.7363876214545,3897.88900833771,3908.8381347656245,43596800
2023-07-17,3919.787353515625,3952.634733573019,3919.7873535156255,3919.7873535156255,60019400
2023-07-18,3897.88916015625,3941.685667573736,3897.88916015625,3919.7874138649927,65080800
2023-07-20,3963.583740234375,3963.583740234375,3908.838108463182,3908.838108463182,62532400
2023-07-21,3963.583740234375,3963.583740234375,3941.6854875258978,3963.583740234375,19578200
2023-07-24,3952.634765625,3974.533019174169,3941.6856388504157,3941.6856388504157,37485400
2023-07-25,3952.634765625,3996.4312727233378,3952.634765625,3963.5838923995843,45959000
2023-07-26,3919.787353515625,3963.5838602588165,3908.8382268298274,3952.634733573019,104007400
2023-07-27,3897.88916015625,3919.7874138649927,3897.88916015625,3908.838287010621,85572800
2023-07-28,3886.939697265625,3908.837949081206,3854.0923195422533,3897.8888231734154,81248000
2023-07-31,3886.939697265625,3919.787074988996,3865.0414454500437,3897.8888231734154,65017400
2023-08-01,3799.346923828125,3875.9908098995857,3777.4486706648504,3865.0416833179484,136286600
2023-08-02,3886.939697265625,3886.939697265625,3810.2958159110913,3810.2958159110913,66452600
2023-08-03,3919.787353515625,3941.6856068872207,3875.990846772434,3886.9399734582316,82168800
2023-08-04,3941.685302734375,3963.583554416233,3908.8379252115888,3919.787051052517,56224800
2023-08-07,3941.685302734375,3963.583554416233,3941.685302734375,3941.685302734375,35042800
2023-08-08,3908.838134765625,3952.6346404772844,3897.88900833771,3941.6855140493694,28001600
2023-08-09,3974.532958984375,3985.4820855931475,3908.8381993317407,3908.8381993317407,67682000
2023-08-10,3985.48193359375,3996.4310597849417,3963.583681211367,3985.4819335937505,47185600
2023-08-11,3985.48193359375,3996.4310597849417,3963.583681211367,3985.4819335937505,33962600
2023-08-14,4029.278564453125,4051.176817520805,3985.4820583177648,3996.431184851605,90433400
2023-08-15,3985.48193359375,4040.2275645497084,3985.4819335937505,4029.2784383585167,48732000
2023-08-16,3985.48193359375,3996.4310597849417,3919.7871764466004,3985.4819335937505,54525000
2023-08-18,3963.583740234375,3974.5328665886136,3930.736361171659,3974.5328665886136,51664400
2023-08-21,3996.431396484375,3996.431396484375,3963.5840151434077,3974.5331422570634,35954600
2023-08-22,3985.48193359375,4007.3801859761334,3974.532807402559,3996.4310597849417,30726000
2023-08-23,3974.532958984375,3996.43121220192,3974.532958984375,3985.4820855931475,27342600
2023-08-24,3996.431396484375,4007.3805235980312,3974.5331422570634,3974.5331422570634,28494200
2023-08-25,3985.48193359375,3996.4310597849417,3963.583681211367,3985.4819335937505,27453200
